gameid,date,team,position,playername,performance
ESPORTSTMNT06_2827957,2023-10-14 08:07:55,LOUD,bot,Route,2974.7
ESPORTSTMNT06_2827957,2023-10-14 08:07:55,LOUD,sup,Ceos,1612.9
ESPORTSTMNT06_2827957,2023-10-14 08:07:55,GAM Esports,top,Kiaya,3656.7
ESPORTSTMNT06_2827957,2023-10-14 08:07:55,GAM Esports,jng,Levi,2109.5
ESPORTSTMNT06_2827957,2023-10-14 08:07:55,GAM Esports,mid,Kati,3323.9
ESPORTSTMNT06_2827957,2023-10-14 08:07:55,GAM Esports,bot,Slayder,3794.5
ESPORTSTMNT06_2827957,2023-10-14 08:07:55,GAM Esports,sup,Palette,1814.6000000000001
ESPORTSTMNT06_2829943,2023-10-14 09:10:35,CTBC Flying Oyster,top,Rest,4166.6
ESPORTSTMNT06_2829943,2023-10-14 09:10:35,CTBC Flying Oyster,jng,Gemini,4018.0
ESPORTSTMNT06_2829943,2023-10-14 09:10:35,CTBC Flying Oyster,mid,JimieN,7186.6
ESPORTSTMNT06_2829943,2023-10-14 09:10:35,CTBC Flying Oyster,bot,Shunn,5532.1
ESPORTSTMNT06_2829943,2023-10-14 09:10:35,CTBC Flying Oyster,sup,ShiauC,2838.3999999999996
ESPORTSTMNT06_2829943,2023-10-14 09:10:35,Team BDS,top,Adam,3577.5
ESPORTSTMNT06_2829943,2023-10-14 09:10:35,Team BDS,jng,Sheo,3171.2999999999997
ESPORTSTMNT06_2829943,2023-10-14 09:10:35,Team BDS,mid,nuc,5928.2
ESPORTSTMNT06_2829943,2023-10-14 09:10:35,Team BDS,bot,Crownie,5145.4
ESPORTSTMNT06_2829943,2023-10-14 09:10:35,Team BDS,sup,Labrov,3266.2999999999997
ESPORTSTMNT06_2828992,2023-10-14 10:14:23,CTBC Flying Oyster,top,Rest,3007.4
ESPORTSTMNT06_2828992,2023-10-14 10:14:23,CTBC Flying Oyster,jng,Gemini,1520.0
ESPORTSTMNT06_2828992,2023-10-14 10:14:23,CTBC Flying Oyster,mid,JimieN,1799.0
ESPORTSTMNT06_2828992,2023-10-14 10:14:23,CTBC Flying Oyster,bot,Shunn,2911.3
ESPORTSTMNT06_2828992,2023-10-14 10:14:23,CTBC Flying Oyster,sup,ShiauC,1531.2
ESPORTSTMNT06_2828992,2023-10-14 10:14:23,Team BDS,top,Adam,3059.3
ESPORTSTMNT06_2828992,2023-10-14 10:14:23,Team BDS,jng,Sheo,2725.5
ESPORTSTMNT06_2828992,2023-10-14 10:14:23,Team BDS,mid,nuc,3599.2
ESPORTSTMNT06_2828992,2023-10-14 10:14:23,Team BDS,bot,Crownie,3512.6
ESPORTSTMNT06_2828992,2023-10-14 10:14:23,Team BDS,sup,Labrov,2051.4
ESPORTSTMNT06_2829978,2023-10-15 03:11:17,GAM Esports,top,Kiaya,2249.0
ESPORTSTMNT06_2829978,2023-10-15 03:11:17,GAM Esports,jng,Levi,2488.3
ESPORTSTMNT06_2829978,2023-10-15 03:11:17,GAM Esports,mid,Kati,3496.1
ESPORTSTMNT06_2829978,2023-10-15 03:11:17,GAM Esports,bot,Slayder,2705.0
ESPORTSTMNT06_2829978,2023-10-15 03:11:17,GAM Esports,sup,Palette,2071.5
ESPORTSTMNT06_2829978,2023-10-15 03:11:17,Team Whales,top,Sparda,2628.0
ESPORTSTMNT06_2829978,2023-10-15 03:11:17,Team Whales,jng,BeanJ,1390.1
ESPORTSTMNT06_2829978,2023-10-15 03:11:17,Team Whales,mid,Gloryy,2548.4
ESPORTSTMNT06_2829978,2023-10-15 03:11:17,Team Whales,bot,Artemis,2609.6
ESPORTSTMNT06_2829978,2023-10-15 03:11:17,Team Whales,sup,Bie,1551.0
ESPORTSTMNT06_2829990,2023-10-15 03:58:19,GAM Esports,top,Kiaya,1896.0
ESPORTSTMNT06_2829990,2023-10-15 03:58:19,GAM Esports,jng,Levi,1326.5
ESPORTSTMNT06_2829990,2023-10-15 03:58:19,GAM Esports,mid,Kati,3874.3
ESPORTSTMNT06_2829990,2023-10-15 03:58:19,GAM Esports,bot,Slayder,1932.0
ESPORTSTMNT06_2829990,2023-10-15 03:58:19,GAM Esports,sup,Palette,1286.1
ESPORTSTMNT06_2829990,2023-10-15 03:58:19,Team Whales,top,Sparda,2592.3
ESPORTSTMNT06_2829990,2023-10-15 03:58:19,Team Whales,jng,BeanJ,2826.0
ESPORTSTMNT06_2829990,2023-10-15 03:58:19,Team Whales,mid,Gloryy,3518.9
ESPORTSTMNT06_2829990,2023-10-15 03:58:19,Team Whales,bot,Artemis,2922.8
ESPORTSTMNT06_2829990,2023-10-15 03:58:19,Team Whales,sup,Bie,1988.9
ESPORTSTMNT06_2830023,2023-10-15 04:46:19,GAM Esports,top,Kiaya,3631.7
ESPORTSTMNT06_2830023,2023-10-15 04:46:19,GAM Esports,jng,Levi,2728.1000000000004
ESPORTSTMNT06_2830023,2023-10-15 04:46:19,GAM Esports,mid,Kati,4796.3
ESPORTSTMNT06_2830023,2023-10-15 04:46:19,GAM Esports,bot,Slayder,5351.1
ESPORTSTMNT06_2830023,2023-10-15 04:46:19,GAM Esports,sup,Palette,3191.4
ESPORTSTMNT06_2830023,2023-10-15 04:46:19,Team Whales,top,Sparda,3037.8
ESPORTSTMNT06_2830023,2023-10-15 04:46:19,Team Whales,jng,BeanJ,2057.0
ESPORTSTMNT06_2830023,2023-10-15 04:46:19,Team Whales,mid,Gloryy,3849.1
ESPORTSTMNT06_2830023,2023-10-15 04:46:19,Team Whales,bot,Artemis,3595.7
ESPORTSTMNT06_2830023,2023-10-15 04:46:19,Team Whales,sup,Bie,1853.3999999999999
ESPORTSTMNT06_2831004,2023-10-15 05:44:39,GAM Esports,top,Kiaya,2983.5
ESPORTSTMNT06_2831004,2023-10-15 05:44:39,GAM Esports,jng,Levi,3309.4
